"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Projects\Penguine\penguine_core\src\app.cc", "C++", 28, 0, 0, 7, 35
"c:\Projects\Penguine\penguine_core\src\entity\tickable.cc", "C++", 3, 0, 0, 2, 5
"c:\Projects\Penguine\penguine_core\src\entity\viewable.cc", "C++", 12, 0, 0, 5, 17
"c:\Projects\Penguine\penguine_core\src\event.cc", "C++", 11, 0, 2, 3, 16
"c:\Projects\Penguine\penguine_core\src\impl\glad.c", "C", 0, 2, 0, 0, 2
"c:\Projects\Penguine\penguine_core\src\impl\rgfw.c", "C", 0, 4, 0, 0, 4
"c:\Projects\Penguine\penguine_core\src\impl\stb_image.c", "C", 0, 2, 0, 0, 2
"c:\Projects\Penguine\penguine_core\src\impl\tinygltf.cc", "C++", 3, 0, 0, 0, 3
"c:\Projects\Penguine\penguine_core\src\main.cc", "C++", 73, 0, 0, 17, 90
"c:\Projects\Penguine\penguine_core\src\render\camera.cc", "C++", 20, 0, 0, 12, 32
"c:\Projects\Penguine\penguine_core\src\render\layer.cc", "C++", 13, 0, 0, 3, 16
"c:\Projects\Penguine\penguine_core\src\render\mesh.cc", "C++", 31, 0, 2, 12, 45
"c:\Projects\Penguine\penguine_core\src\render\renderer.cc", "C++", 20, 0, 2, 4, 26
"c:\Projects\Penguine\penguine_core\src\render\shader.cc", "C++", 65, 0, 0, 15, 80
"c:\Projects\Penguine\penguine_core\src\render\texture.cc", "C++", 23, 0, 0, 12, 35
"c:\Projects\Penguine\penguine_core\src\resource.cc", "C++", 37, 0, 1, 12, 50
"c:\Projects\Penguine\penguine_core\src\scene.cc", "C++", 17, 0, 0, 4, 21
"c:\Projects\Penguine\penguine_core\src\window.cc", "C++", 30, 0, 1, 5, 36
"Total", "-", 386, 8, 8, 113, 515
